"logFC","logCPM","PValue","FDR"
"Tcas008614",3.32088968436153,9.08393789713627,8.16680629935932e-19,8.16027285431983e-15
"Tcas001445",2.96759068153489,7.44203566161208,1.31300555825941e-16,6.55977576906403e-13
"Tcas009545",-3.22532201882879,3.95264002380353,1.11213969499499e-15,3.70416661079666e-12
"Tcas010348",1.78666055075201,4.94628167478005,4.07417060167294e-15,1.0177278162979e-11
"Tcas001544",3.38140154617424,5.77189064051348,8.27736151213379e-15,1.65414792458482e-11
"Tcas012473",3.52468760067229,1.72474057228756,6.09255765975117e-14,1.01461393560389e-10
"Tcas010260",-1.91613116886419,6.62935029704061,7.50295890740762e-14,1.07099379146881e-10
"Tcas003161",-4.02648466632162,4.22485881800419,1.17393313624499e-13,1.46624248716999e-10
"Tcas000381",-1.97444544633369,3.42068409166722,2.72226720224995e-13,3.02232154276461e-10
"Tcas011097",1.44388923366856,6.36265828981855,3.03854370230248e-13,3.03611286734064e-10
"Tcas010750",-2.40292715364174,3.05157852482559,2.9907748327142e-12,2.71671110258912e-09
"Tcas005259",2.70322379212512,11.1143600304619,5.46132760950981e-12,4.54746545618517e-09
"Tcas005008",-1.57700820900951,6.32594550154268,6.48728536112897e-12,4.9862273329539e-09
"Tcas006511",-2.10050986931378,3.29550327571555,2.03916528026353e-11,1.45538139145665e-08
"Tcas008014",2.43266788630662,8.66301986289366,3.01528708531471e-11,2.00858323709764e-08
"Tcas011630",-2.64356605183303,8.55468099099044,5.17498359061939e-11,3.23177725234181e-08
"Tcas007531",1.97961578621887,5.91472052784908,1.28076803418254e-10,7.52790246914822e-08
"Tcas011971",-1.83446387790696,7.22875080764247,1.78609984284991e-10,9.76540936014191e-08
"Tcas012143",-1.68761038556802,7.69129917365095,1.85691330907422e-10,9.76540936014191e-08
"Tcas009886",1.8002208694616,8.62029172688309,2.02682759485977e-10,1.01260306639194e-07
"Tcas003069",-2.46380550054554,2.86112485152856,2.17314031237636e-10,1.03400085720308e-07
"Tcas003434",1.62003217030047,6.34439970292083,2.6561268153814e-10,1.20636450633141e-07
"Tcas004748",-1.83233567431896,6.04239817838509,7.12828784026744e-10,3.09677617825879e-07
"Tcas005162",1.78767860783601,9.953552167288,7.52870533761062e-10,3.13445098889189e-07
"Tcas005777",-8.77732536873342,2.6220765124248,9.91566454320898e-10,3.78392311753243e-07
"Tcas004278",2.59800573599168,10.5717025793076,1.0152209217856e-09,3.78392311753243e-07
"Tcas005904",2.88499597064555,8.48896610636081,1.02247722351257e-09,3.78392311753243e-07
"Tcas010013",1.83330557045469,6.72524871078701,1.28236197558686e-09,4.57620030716569e-07
"Tcas010433",1.65549991820036,5.12365952678223,1.41753449141451e-09,4.88413953041855e-07
"Tcas007069",1.54969870207365,7.16505743134777,3.54015482347959e-09,1.17910756654027e-06
"Tcas004090",-1.697256745652,6.9631509296579,7.33580951059827e-09,2.36449705257735e-06
"Tcas011047",1.25433662773096,7.59492930391606,8.59048070066216e-09,2.68237759878176e-06
"Tcas004599",1.95206775313841,4.75118093818306,1.00595132984187e-08,3.04589869326664e-06
"Tcas005611",1.38832816673719,8.25367569500276,1.08816425658237e-08,3.19792272110914e-06
"Tcas004279",2.01748258218172,11.3497718917049,1.66114162340756e-08,4.62146555649559e-06
"Tcas000686",-1.27120137065877,6.41459579147265,1.66505964805686e-08,4.62146555649559e-06
"Tcas012194",-1.73517727804849,2.84188863323832,1.88141913898176e-08,5.04411416361568e-06
"Tcas007629",1.65100575833727,8.19892155089232,1.91829802059043e-08,5.04411416361568e-06
"Tcas004697",1.54541898883768,4.64567001636688,2.77128302562072e-08,7.10016922871851e-06
"Tcas005893",-6.01337451602179,3.38375373287019,3.16350156150553e-08,7.90242690064081e-06
"Tcas002779",1.55075500059263,4.80955915113595,6.9709095133229e-08,1.66174080668514e-05
"Tcas012119",1.34558186378462,6.43018983998564,6.98489930752361e-08,1.66174080668514e-05
"Tcas011154",-2.49368085132091,2.28428840758824,7.30967411209814e-08,1.69856427274615e-05
"Tcas000416",-1.03661963276187,6.52863714753697,7.60564544134372e-08,1.72717293749787e-05
"Tcas002204",2.4137859430951,2.61299806909405,8.8671500141841e-08,1.95265448188431e-05
"Tcas004806",-1.06607351917975,4.743786383644,8.98940213837851e-08,1.95265448188431e-05
"Tcas006017",-6.43015628697017,3.51651918540327,9.83354196455577e-08,2.09056917680513e-05
"Tcas000694",1.39285533936468,5.08872117469903,1.05464394639657e-07,2.19541714841553e-05
"Tcas005728",1.5418603157811,2.62351133323262,1.40391963022719e-07,2.86284998882247e-05
"Tcas005723",-1.75970069511752,7.03094140338205,1.56450706516083e-07,3.12651091901741e-05
"Tcas005214",1.6947455245188,3.7894696349096,1.96708495458933e-07,3.853943699266e-05
"Tcas005925",-2.09576925517127,8.20005153365246,2.72992681530304e-07,5.24565937278999e-05
"Tcas000424",1.76722268833187,9.29890387213144,3.06917280819551e-07,5.68800141116622e-05
"Tcas006630",1.87169190033219,8.93194080748964,3.07397994598655e-07,5.68800141116622e-05
"Tcas005953",-1.13618932687808,5.92473585054706,3.37445202216142e-07,6.13045901917034e-05
"Tcas005696",1.05092283252171,4.53113922055363,3.69004682783577e-07,6.58409783995269e-05
"Tcas008143",2.37460907985442,10.6731922922736,3.873166762781e-07,6.789593384861e-05
"Tcas010412",1.84703322923442,9.11364705182505,4.48886294373665e-07,7.73322733341666e-05
"Tcas001746",0.913706029835207,4.53370847031725,5.21472407393591e-07,8.83144456724875e-05
"Tcas004283",1.28081306473439,7.20357426298887,6.26076543439855e-07,0.000104262613700851
"Tcas007380",-1.47278612025145,4.99526408920197,6.69791774997094e-07,0.000109714088783131
"Tcas005512",1.17507980579747,7.02152579417687,8.92622320628017e-07,0.000143146630992466
"Tcas005522",-5.56221252034355,3.09185977422475,9.02545811902059e-07,0.000143146630992466
"Tcas000772",-2.55381750389415,4.98553587758452,9.4052448912787e-07,0.000146839385865089
"Tcas010647",1.91740797641801,1.65603672064193,9.57246052696193e-07,0.000147150808592929
"Tcas008699",-3.72633129353005,5.31225455019337,9.8066223596767e-07,0.000148466319118015
"Tcas004678",1.50268335446666,7.09870351788189,1.02925278422938e-06,0.000153216678428652
"Tcas005528",-2.05648705642138,8.84542803155388,1.04270757937833e-06,0.000153216678428652
"Tcas012002",-1.05390512757968,5.40598590279782,1.13478854109898e-06,0.000164330537719725
"Tcas006736",2.04045308790056,2.21559500402016,1.19252129439987e-06,0.000170223896766335
"Tcas010555",-1.61884585672295,8.32925929276976,1.2328812100767e-06,0.000173506324663188
"Tcas011944",-4.2620543928501,5.89835014284415,1.36309805945542e-06,0.000189167719584425
"Tcas007752",-1.30277151411369,6.59251098628021,1.54422194499349e-06,0.000211368022936643
"Tcas001934",-1.24502177608934,7.12572781739301,1.58923494732242e-06,0.0002145896701844
