"logFC","logCPM","PValue","FDR"
"Tcas001445",-4.65144524432624,7.44203566161208,8.95106755708302e-33,8.94390670303735e-29
"Tcas012119",-3.15272093393425,6.43018983998564,1.59883370523658e-31,7.98777319136196e-28
"Tcas007215",-3.75950583993286,4.7959705885872,2.11224916696536e-30,7.03519789210594e-27
"Tcas005259",-4.61601052310648,11.1143600304619,3.81585935354741e-27,9.53201666516143e-24
"Tcas004278",-4.76375107793263,10.5717025793076,3.28558491157278e-24,6.56591288728704e-21
"Tcas005506",-3.06583368972483,7.65984387036084,2.52195545265198e-23,4.1998964804831e-20
"Tcas002492",-2.53003682731451,2.93556940834502,6.83364935008231e-21,9.75454632943178e-18
"Tcas008014",-3.47676537223828,8.66301986289366,1.01014645306336e-19,1.26167291987613e-16
"Tcas010348",-2.09553553004101,4.94628167478005,1.16243348132538e-19,1.29055948282258e-16
"Tcas007069",-2.42034349221336,7.16505743134777,3.36645477897197e-19,3.36376161514879e-16
"Tcas000381",-3.88599477922557,3.42068409166722,4.10005494568437e-19,3.72434081975257e-16
"Tcas007752",-2.56572527235856,6.59251098628021,1.34711335098844e-18,1.12169638358971e-15
"Tcas012300",-2.96763763524544,4.73208680615686,2.32089176411411e-18,1.78387311592524e-15
"Tcas010750",2.79543084469061,3.05157852482559,9.19151383257995e-17,6.56011472965277e-14
"Tcas008986",-1.80362691680081,6.8486065388135,2.37688562496523e-16,1.58332274431017e-13
"Tcas003161",4.4441104986667,4.22485881800419,2.83885653007774e-16,1.77286590303355e-13
"Tcas005749",-1.65292041455627,4.25777849570576,4.96344619120873e-16,2.91733849073869e-13
"Tcas009707",-2.1172550567813,6.76048891869389,8.38012076327964e-16,4.65189814814945e-13
"Tcas001544",-3.50581554126975,5.77189064051348,1.09423140479312e-15,5.65824511560533e-13
"Tcas011916",-3.36931115767014,3.38054762540743,1.13255506717481e-15,5.65824511560533e-13
"Tcas003260",-1.99144990444999,8.54961704759407,1.92172354763819e-15,9.09206236271934e-13
"Tcas005879",-1.62087258547416,4.17922308541462,2.00185520396142e-15,9.09206236271934e-13
"Tcas010412",-3.00713142204837,9.11364705182505,3.79938440970454e-15,1.65058474007686e-12
"Tcas011920",-2.18147697180258,8.28524077622005,6.47767038799545e-15,2.69687010486877e-12
"Tcas007531",-2.43275212257813,5.91472052784908,8.45651355149001e-15,3.37989933625953e-12
"Tcas004599",-2.7211250927443,4.75118093818306,9.92385411629972e-15,3.81381347423334e-12
"Tcas012473",-3.48324593633184,1.72474057228756,1.65888464055141e-14,6.0957155894379e-12
"Tcas009833",-1.88430402699802,7.4206050012556,1.70816689856146e-14,6.0957155894379e-12
"Tcas000125",-3.10077332719022,4.69482480364165,1.95192601095188e-14,6.72539472463146e-12
"Tcas005680",-1.90165349004441,5.28281210643438,2.82910321626437e-14,9.3749827925345e-12
"Tcas008385",-2.57167886910482,8.61663413558775,2.90857152290402e-14,9.3749827925345e-12
"Tcas002348",-2.02082968554008,9.25657402025131,3.52830933292739e-14,1.10171458920658e-11
"Tcas005611",-1.83367889112245,8.25367569500276,9.06126415136102e-14,2.69271533687991e-11
"Tcas008614",-2.72247500348859,9.08393789713627,9.16256219514782e-14,2.69271533687991e-11
"Tcas011939",-2.01605436453492,7.12386180514102,2.37674597613035e-13,6.78527022671269e-11
"Tcas007380",2.17606273808647,4.99526408920197,2.45342094358784e-13,6.80960613009159e-11
"Tcas011980",-1.79524677506806,5.08766491564108,3.4360570858636e-13,9.27921145998625e-11
"Tcas005596",-2.32865100902666,8.86319921382246,8.03126408726989e-13,2.11179975684212e-10
"Tcas006834",-2.15340133439202,5.92212538781818,1.47305104050423e-12,3.74226878927132e-10
"Tcas000686",1.59940374833127,6.41459579147265,1.49810600050893e-12,3.74226878927132e-10
"Tcas011193",1.74148784971037,5.95878769082939,1.99538788812843e-12,4.86290628736079e-10
"Tcas011630",2.84669107463412,8.55468099099044,2.30901636016629e-12,5.4932598739956e-10
"Tcas004279",-2.54762515939748,11.3497718917049,2.76924941731256e-12,6.43496283204351e-10
"Tcas008216",-1.69226465461281,5.186104903657,3.52542947988138e-12,8.00592985522153e-10
"Tcas009545",2.77938960774939,3.95264002380353,4.38685567515001e-12,9.74076931246643e-10
"Tcas002003",-2.99008519315758,11.432005749579,5.29807241135411e-12,1.15083346813588e-09
"Tcas011971",1.9811775098666,7.22875080764247,6.82657796261241e-12,1.45130142558347e-09
"Tcas011047",-1.50293384645324,7.59492930391606,7.09216830887684e-12,1.47635303629786e-09
"Tcas008723",-2.48787564378406,9.73895810801539,2.32193698551145e-11,4.73485599167968e-09
"Tcas009886",-1.88979855952798,8.62029172688309,2.75922523749257e-11,5.48920191571486e-09
"Tcas005214",-2.22338625077738,3.7894696349096,2.80173436450619e-11,5.48920191571486e-09
"Tcas008231",-1.82726028158294,5.85463696506187,5.43802197797503e-11,1.04493683853705e-08
"Tcas002204",-3.11116559687132,2.61299806909405,6.35187805441694e-11,1.19750878339121e-08
